Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,Country,Season
363,Joao Moutinho,POR,MF,Wolves,35,1986,31,20,1780,19.8,0,2,2,0,0,0,3,0,1.3,England Premier League,2022-2023
364,Divin Mubama,ENG,FW,West Ham,17,2004,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
365,Mykhailo Mudryk,UKR,"FW,MF",Chelsea,21,2001,15,7,657,7.3,0,2,2,0,0,0,1,0,1.9,England Premier League,2022-2023
366,Jacob Murphy,ENG,FW,Newcastle Utd,27,1995,36,14,1251,13.9,4,2,6,4,0,0,0,0,3.3,England Premier League,2022-2023
367,Enock Mwepu,ZAM,"FW,MF",Brighton,24,1998,6,2,213,2.4,0,1,1,0,0,0,0,0,0.2,England Premier League,2022-2023
368,Vitaliy Mykolenko,UKR,DF,Everton,23,1999,34,30,2655,29.5,0,0,0,0,0,0,4,0,0.5,England Premier League,2022-2023
369,Keylor Navas,CRC,GK,Nott'ham Forest,35,1986,17,17,1529,17.0,0,0,0,0,0,0,2,0,0.0,England Premier League,2022-2023
370,Wilfred Ndidi,NGA,MF,Leicester City,25,1996,27,19,1679,18.7,0,0,0,0,0,0,4,0,0.2,England Premier League,2022-2023
371,Reiss Nelson,ENG,FW,Arsenal,22,1999,11,0,212,2.4,3,2,5,3,0,0,0,0,1.1,England Premier League,2022-2023
372,Neto,BRA,GK,Bournemouth,33,1989,27,27,2385,26.5,0,0,0,0,0,0,4,0,0.0,England Premier League,2022-2023
373,Pedro Neto,POR,"FW,MF",Wolves,22,2000,18,13,964,10.7,0,0,0,0,0,0,1,0,1.1,England Premier League,2022-2023
374,Ruben Neves,POR,MF,Wolves,25,1997,35,33,3019,33.5,6,1,7,3,3,3,12,0,5.2,England Premier League,2022-2023
375,Moussa Niakhate,SEN,DF,Nott'ham Forest,26,1996,14,14,1163,12.9,0,0,0,0,0,0,1,0,0.6,England Premier League,2022-2023
376,Rasmus Nissen,DEN,DF,Leeds United,25,1997,26,21,1960,21.8,3,1,4,3,0,0,4,0,0.8,England Premier League,2022-2023
377,Eddie Nketiah,ENG,FW,Arsenal,23,1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,8.2,England Premier League,2022-2023
378,Matheus Nunes,POR,MF,Wolves,23,1998,34,30,2467,27.4,1,1,2,1,0,0,2,1,2.4,England Premier League,2022-2023
379,Darwin Nunez,URU,FW,Liverpool,23,1999,29,19,1695,18.8,9,3,12,9,0,0,1,1,12.1,England Premier League,2022-2023
380,Ethan Nwaneri,ENG,FW,Arsenal,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
381,Christian Norgaard,DEN,MF,Brentford,28,1994,22,21,1763,19.6,1,3,4,1,0,0,6,0,1.6,England Premier League,2022-2023
382,Lewis O'Brien,ENG,MF,Nott'ham Forest,23,1998,13,6,584,6.5,1,0,1,1,0,0,2,0,0.3,England Premier League,2022-2023
383,Odeluga Offiah,ENG,DF,Brighton,19,2002,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
384,Angelo Ogbonna,ITA,DF,West Ham,34,1988,16,13,1237,13.7,0,0,0,0,0,0,0,0,0.3,England Premier League,2022-2023
385,Michael Olise,FRA,"FW,MF",Crystal Palace,20,2001,37,31,2749,30.5,2,11,13,2,0,0,2,0,2.9,England Premier League,2022-2023
386,Robin Olsen,SWE,GK,Aston Villa,32,1990,4,2,281,3.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
387,Amadou Onana,BEL,MF,Everton,20,2001,33,29,2488,27.6,1,2,3,1,0,0,9,0,3.0,England Premier League,2022-2023
388,Josh Onomah,ENG,MF,Fulham,25,1997,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
389,Paul Onuachu,NGA,FW,Southampton,28,1994,11,4,407,4.5,0,0,0,0,0,0,0,0,1.3,England Premier League,2022-2023
390,Frank Onyeka,NGA,MF,Brentford,24,1998,21,8,848,9.4,0,2,2,0,0,0,0,0,1.0,England Premier League,2022-2023
391,Mislav Orsic,CRO,MF,Southampton,29,1992,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
392,Stefan Ortega,GER,GK,Manchester City,29,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
393,Dango Ouattara,BFA,"MF,FW",Bournemouth,20,2002,19,15,1241,13.8,1,3,4,1,0,0,1,0,3.6,England Premier League,2022-2023
394,Alex Oxlade-Chamberlain,ENG,"FW,MF",Liverpool,28,1993,9,4,335,3.7,1,0,1,1,0,0,0,0,1.3,England Premier League,2022-2023
395,David Ozoh,ENG,FW,Crystal Palace,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
396,Joao Palhinha,POR,MF,Fulham,27,1995,35,35,3108,34.5,3,0,3,3,0,0,14,0,2.9,England Premier League,2022-2023
397,Cole Palmer,ENG,"MF,FW",Manchester City,20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,1.2,England Premier League,2022-2023
398,Emerson Palmieri,ITA,DF,West Ham,27,1994,22,16,1320,14.7,1,0,1,1,0,0,2,0,0.8,England Premier League,2022-2023
399,Lucas Paqueta,BRA,MF,West Ham,24,1997,28,27,2151,23.9,4,3,7,3,1,1,5,0,4.4,England Premier League,2022-2023
400,Thomas Partey,GHA,MF,Arsenal,29,1993,33,28,2483,27.6,3,0,3,3,0,0,5,0,2.2,England Premier League,2022-2023
401,Nathan Patterson,SCO,"DF,MF",Everton,20,2001,19,14,1279,14.2,0,0,0,0,0,0,3,0,0.5,England Premier League,2022-2023
402,Ben Pearson,ENG,MF,Bournemouth,27,1995,7,3,286,3.2,0,0,0,0,0,0,1,0,0.0,England Premier League,2022-2023
403,Facundo Pellistri,URU,"FW,MF",Manchester Utd,20,2001,4,0,64,0.7,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
404,Andreas Pereira,BRA,MF,Fulham,26,1996,33,33,2692,29.9,4,6,10,3,1,1,8,0,7.3,England Premier League,2022-2023
405,Ricardo Pereira,POR,"DF,MF",Leicester City,28,1993,10,5,454,5.0,1,1,2,1,0,0,2,0,0.1,England Premier League,2022-2023
406,Ayoze Perez,ESP,"MF,FW",Leicester City,29,1993,8,3,382,4.2,0,1,1,0,0,0,0,0,1.1,England Premier League,2022-2023
407,Ivan Perisic,CRO,"DF,MF",Tottenham,33,1989,34,23,2108,23.4,1,8,9,1,0,0,6,0,2.6,England Premier League,2022-2023
408,Romain Perraud,FRA,DF,Southampton,24,1997,29,22,1835,20.4,2,2,4,2,0,0,4,0,1.3,England Premier League,2022-2023
409,Maximo Perrone,ARG,MF,Manchester City,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,England Premier League,2022-2023
410,Cameron Peupion,AUS,MF,Brighton,19,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.1,England Premier League,2022-2023
411,Kalvin Phillips,ENG,MF,Manchester City,26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0,0.3,England Premier League,2022-2023
